Month,Monthly milk production: pounds per cow. Jan 62 ? Dec 75
Jan-62,589
Feb-62,561
Mar-62,640
Apr-62,656
May-62,727
Jun-62,697
Jul-62,640
Aug-62,599
Sep-62,568
Oct-62,577
Nov-62,553
Dec-62,582
Jan-63,600
Feb-63,566
Mar-63,653
Apr-63,673
May-63,742
Jun-63,716
Jul-63,660
Aug-63,617
Sep-63,583
Oct-63,587
Nov-63,565
Dec-63,598
Jan-64,628
Feb-64,618
Mar-64,688
Apr-64,705
May-64,770
Jun-64,736
Jul-64,678
Aug-64,639
Sep-64,604
Oct-64,611
Nov-64,594
Dec-64,634
Jan-65,658
Feb-65,622
Mar-65,709
Apr-65,722
May-65,782
Jun-65,756
Jul-65,702
Aug-65,653
Sep-65,615
Oct-65,621
Nov-65,602
Dec-65,635
Jan-66,677
Feb-66,635
Mar-66,736
Apr-66,755
May-66,811
Jun-66,798
Jul-66,735
Aug-66,697
Sep-66,661
Oct-66,667
Nov-66,645
Dec-66,688
Jan-67,713
Feb-67,667
Mar-67,762
Apr-67,784
May-67,837
Jun-67,817
Jul-67,767
Aug-67,722
Sep-67,681
Oct-67,687
Nov-67,660
Dec-67,698
Jan-68,717
Feb-68,696
Mar-68,775
Apr-68,796
May-68,858
Jun-68,826
Jul-68,783
Aug-68,740
Sep-68,701
Oct-68,706
Nov-68,677
Dec-68,711
Jan-69,734
Feb-69,690
Mar-69,785
Apr-69,805
May-69,871
Jun-69,845
Jul-69,801
Aug-69,764
Sep-69,725
Oct-69,723
Nov-69,690
Dec-69,734
Jan-70,750
Feb-70,707
Mar-70,807
Apr-70,824
May-70,886
Jun-70,859
Jul-70,819
Aug-70,783
Sep-70,740
Oct-70,747
Nov-70,711
Dec-70,751
Jan-71,804
Feb-71,756
Mar-71,860
Apr-71,878
May-71,942
Jun-71,913
Jul-71,869
Aug-71,834
Sep-71,790
Oct-71,800
Nov-71,763
Dec-71,800
Jan-72,826
Feb-72,799
Mar-72,890
Apr-72,900
May-72,961
Jun-72,935
Jul-72,894
Aug-72,855
Sep-72,809
Oct-72,810
Nov-72,766
Dec-72,805
Jan-73,821
Feb-73,773
Mar-73,883
Apr-73,898
May-73,957
Jun-73,924
Jul-73,881
Aug-73,837
Sep-73,784
Oct-73,791
Nov-73,760
Dec-73,802
Jan-74,828
Feb-74,778
Mar-74,889
Apr-74,902
May-74,969
Jun-74,947
Jul-74,908
Aug-74,867
Sep-74,815
Oct-74,812
Nov-74,773
Dec-74,813
Jan-75,834
Feb-75,782
Mar-75,892
Apr-75,903
May-75,966
Jun-75,937
Jul-75,896
Aug-75,858
Sep-75,817
Oct-75,827
Nov-75,797
Dec-75,843
