Month,Monthly sales of company X Jan ?65 ? May ?71 C. Cahtfield
Jan-65,154
Feb-65,96
Mar-65,73
Apr-65,49
May-65,36
Jun-65,59
Jul-65,95
Aug-65,169
Sep-65,210
Oct-65,278
Nov-65,298
Dec-65,245
Jan-66,200
Feb-66,118
Mar-66,90
Apr-66,79
May-66,78
Jun-66,91
Jul-66,167
Aug-66,169
Sep-66,289
Oct-66,347
Nov-66,375
Dec-66,203
Jan-67,223
Feb-67,104
Mar-67,107
Apr-67,85
May-67,75
Jun-67,99
Jul-67,135
Aug-67,211
Sep-67,335
Oct-67,460
Nov-67,488
Dec-67,326
Jan-68,346
Feb-68,261
Mar-68,224
Apr-68,141
May-68,148
Jun-68,145
Jul-68,223
Aug-68,272
Sep-68,445
Oct-68,560
Nov-68,612
Dec-68,467
Jan-69,518
Feb-69,404
Mar-69,300
Apr-69,210
May-69,196
Jun-69,186
Jul-69,247
Aug-69,343
Sep-69,464
Oct-69,680
Nov-69,711
Dec-69,610
Jan-70,613
Feb-70,392
Mar-70,273
Apr-70,322
May-70,189
Jun-70,257
Jul-70,324
Aug-70,404
Sep-70,677
Oct-70,858
Nov-70,895
Dec-70,664
Jan-71,628
Feb-71,308
Mar-71,324
Apr-71,248
May-71,272
