Month,"Monthly unit sales, Winnebago Industries, Nov. 1966 ? Feb. 1972"
Nov-66,61
Dec-66,48
Jan-67,53
Feb-67,78
Mar-67,75
Apr-67,58
May-67,146
Jun-67,193
Jul-67,124
Aug-67,120
Sep-67,134
Oct-67,99
Nov-67,130
Dec-67,166
Jan-68,168
Feb-68,267
Mar-68,314
Apr-68,432
May-68,355
Jun-68,384
Jul-68,232
Aug-68,235
Sep-68,293
Oct-68,242
Nov-68,248
Dec-68,236
Jan-69,209
Feb-69,358
Mar-69,352
Apr-69,406
May-69,562
Jun-69,389
Jul-69,416
Aug-69,493
Sep-69,409
Oct-69,328
Nov-69,222
Dec-69,195
Jan-70,156
Feb-70,439
Mar-70,671
Apr-70,874
May-70,558
Jun-70,621
Jul-70,628
Aug-70,652
Sep-70,495
Oct-70,344
Nov-70,405
Dec-70,586
Jan-71,403
Feb-71,700
Mar-71,837
Apr-71,1224
May-71,1117
Jun-71,1214
Jul-71,762
Aug-71,846
Sep-71,1228
Oct-71,937
Nov-71,1396
Dec-71,1174
Jan-72,628
Feb-72,1753
